City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,vaini,TO,-21.2,-175.2,84.36,74,75,5.75,light rain
1,cape town,ZA,-33.9258,18.4232,76.37,74,0,1.14,clear sky
2,tuktoyaktuk,CA,69.4541,-133.0374,-0.4,85,100,9.22,mist
3,ayan,RU,56.45,138.1667,-33.34,75,53,7.14,broken clouds
4,castro,BR,-24.7911,-50.0119,66.43,93,91,3.49,overcast clouds
5,lenger,KZ,42.183,69.8839,8.04,56,0,7.83,clear sky
6,dikson,RU,73.5069,80.5464,-17.36,82,100,7.34,overcast clouds
7,rikitea,PF,-23.1203,-134.9692,78.69,69,100,4.76,overcast clouds
8,punta arenas,CL,-53.15,-70.9167,62.71,48,0,26.46,clear sky
9,lompoc,US,34.6391,-120.4579,61.02,69,20,13.8,few clouds
10,majholi,IN,23.5,79.9167,47.17,41,5,5.26,clear sky
11,hilo,US,19.7297,-155.09,80.33,78,100,14.97,overcast clouds
12,mahebourg,MU,-20.4081,57.7,78.26,85,91,19.66,light rain
13,baherden,TM,38.4362,57.4316,30.4,72,94,3.85,overcast clouds
14,nouadhibou,MR,20.931,-17.0347,69.78,52,99,19.57,overcast clouds
15,albany,US,42.6001,-73.9662,32.88,80,100,0.65,light snow
16,domoni,KM,-12.2569,44.5319,78.22,85,98,2.86,light rain
17,urla,TR,38.3229,26.764,59.4,76,39,16.53,scattered clouds
18,codrington,AU,-38.2667,141.9667,60.13,81,100,14.92,overcast clouds
19,yashkino,RU,55.8736,85.4265,6.39,97,100,4.74,overcast clouds
20,bilibino,RU,68.0546,166.4372,-27.72,95,5,4.52,clear sky
21,mataura,NZ,-46.1927,168.8643,71.02,49,14,2.06,few clouds
22,cayenne,GF,4.9333,-52.3333,77.04,88,100,3.44,overcast clouds
23,qaanaaq,GL,77.484,-69.3632,-17.68,83,81,6.29,broken clouds
24,goderich,CA,43.7501,-81.7165,40.91,100,100,8.05,moderate rain
25,ostuni,IT,40.7276,17.5764,57.6,74,81,24.74,broken clouds
26,coquimbo,CL,-29.9533,-71.3436,69.53,60,0,12.66,clear sky
27,maniitsoq,GL,65.4167,-52.9,0.19,76,45,12.03,scattered clouds
28,grand gaube,MU,-20.0064,57.6608,78.39,77,96,8.01,light rain
29,valle de banderas,MX,20.8,-105.2333,76.6,64,75,9.22,broken clouds
30,sfantu gheorghe,RO,45.8667,25.7833,45.27,84,100,6.2,overcast clouds
31,ushuaia,AR,-54.8,-68.3,60.46,48,20,11.5,light rain
