city_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,vaini,TO,84.36,light rain,-21.2,-175.2,Keleti International Resort
1,cape town,ZA,76.37,clear sky,-33.9258,18.4232,Townhouse Hotel
4,castro,BR,66.43,overcast clouds,-24.7911,-50.0119,Hotel Central Palace
7,rikitea,PF,78.69,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
8,punta arenas,CL,62.71,clear sky,-53.15,-70.9167,Hotel Lacolet
9,lompoc,US,61.02,few clouds,34.6391,-120.4579,Embassy Suites by Hilton Lompoc Central Coast
11,hilo,US,80.33,overcast clouds,19.7297,-155.09,Dolphin Bay Hotel
12,mahebourg,MU,78.26,light rain,-20.4081,57.7,Grand Bel Air
14,nouadhibou,MR,69.78,overcast clouds,20.931,-17.0347,Hotel valencia
16,domoni,KM,78.22,light rain,-12.2569,44.5319,Hotel Djadid
18,codrington,AU,60.13,overcast clouds,-38.2667,141.9667,No hotel found
21,mataura,NZ,71.02,few clouds,-46.1927,168.8643,No hotel found
22,cayenne,GF,77.04,overcast clouds,4.9333,-52.3333,Central Hôtel
26,coquimbo,CL,69.53,clear sky,-29.9533,-71.3436,Hotel Iberia
28,grand gaube,MU,78.39,light rain,-20.0064,57.6608,Coco Villa
29,valle de banderas,MX,76.6,broken clouds,20.8,-105.2333,No hotel found
31,ushuaia,AR,60.46,light rain,-54.8,-68.3,Apart Hotel Aires del Beagle
33,hobart,AU,66.06,broken clouds,-42.8794,147.3294,Vibe Hotel Hobart
36,bredasdorp,ZA,69.91,overcast clouds,-34.5322,20.0403,Victoria Hotel
37,bintulu,MY,73.81,few clouds,3.1667,113.0333,Bakun Inn
38,emerald,AU,72.34,overcast clouds,-23.5333,148.1667,Emerald Central Hotel
40,longido,TZ,63.03,overcast clouds,-2.7333,36.6833,No hotel found
41,santa cruz,BO,80.65,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
42,mpongwe,ZM,61.56,overcast clouds,-13.5091,28.155,No hotel found
43,port lincoln,AU,61.86,overcast clouds,-34.7333,135.8667,Boston Hotel
44,port alfred,ZA,76.17,overcast clouds,-33.5906,26.891,No hotel found
47,hambantota,LK,74.91,moderate rain,6.1241,81.1185,Oasis Aurweda Resort Hambathota
48,sao felix do xingu,BR,74.1,overcast clouds,-6.6447,-51.995,Hotel Terraço
50,te anau,NZ,69.96,scattered clouds,-45.4167,167.7167,Lakeside Motels & Apartments
54,hermanus,ZA,73.8,broken clouds,-34.4187,19.2345,Aloe guest house
55,mana,GF,74.77,broken clouds,5.6592,-53.7767,Le Samana
56,puerto ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
58,tshela,CD,72.5,overcast clouds,-4.9833,12.9333,No hotel found
59,kavieng,PG,79.97,overcast clouds,-2.5744,150.7967,Kavieng Hotel
60,souillac,MU,77.25,light rain,-20.5167,57.5167,Hotel SkylineInn
63,new norfolk,AU,65.71,overcast clouds,-42.7826,147.0587,Woodbridge on the Derwent
65,atuona,PF,78.49,light rain,-9.8,-139.0333,Pearl Resort
68,geraldton,AU,72.01,clear sky,-28.7667,114.6,Ocean Centre Hotel
69,saint-philippe,RE,80.19,overcast clouds,-21.3585,55.7679,Le Baril
70,padang,ID,75.25,overcast clouds,-0.9492,100.3543,losmen Surya
72,sola,VU,81.03,overcast clouds,-13.8833,167.55,No hotel found
73,luanda,AO,80.6,light rain,-8.8368,13.2343,Hotel Forum
75,chuy,UY,71.1,clear sky,-33.6971,-53.4616,Alerces
77,bonfim,BR,82.08,overcast clouds,3.0833,-59.95,No hotel found
78,cabo san lucas,MX,76.6,scattered clouds,22.8909,-109.9124,Comfort Rooms
79,asosa,ET,64.62,clear sky,10.0667,34.5333,Africa Hotel
80,veraval,IN,64.18,clear sky,20.9,70.3667,Shyam
81,labuhan,ID,76.89,overcast clouds,-6.8844,112.2051,No hotel found
